YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,Depth
704,8,2,0,0,0,7,0,7,0,JAPAN,JAPAN:  KUMANONADA,33.8,136.7,30,0,0,0,0,0
713,3,20,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36,36,140,0,0,0,0,0
715,0,0,0,0,0,0,0,0,0,TURKEY,TURKEY:  IZNIK,40.4,28.9,140,0,0,0,0,0
716,8,25,0,0,0,0,0,0,0,TURKEY,TURKEY:  ANTAKYA (ANTIOCH),36,36,140,0,0,0,0,0
734,3,19,0,0,0,7,0,7,0,CHINA,CHINA:  GANSU PROVINCE:  TIANSHUI,34.6,105.6,30,101,3,0,0,0
735,6,21,0,0,0,5.8,0,0,0,ARMENIA,ARMENIA:  BAYOTSDZOR,39.7,45.5,40,0,0,0,0,16
740,10,26,0,0,0,7.3,0,7.3,0,TURKEY,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.7,29.3,140,0,3,0,0,0
742,0,0,0,0,0,0,0,0,0,SYRIA,SYRIA;  ISRAEL; ASIA,35,38,140,0,3,0,0,0
743,0,0,0,0,0,7.2,0,7.2,0,IRAN,IRAN:  EIVAN-E-KAY,35.3,52.2,140,0,0,0,0,0
743,0,0,0,0,0,5.5,0,5.5,0,RUSSIA,RUSSIA:  CASPIAN SEA,42.1,48.2,40,0,0,0,0,20
744,6,30,0,0,0,6.4,0,6.4,0,JAPAN,"JAPAN:  SHIMABARA, YATSUSHIRO, HIGO",32.4,130.5,30,0,0,0,0,0
745,6,5,0,0,0,7.9,0,7.9,0,JAPAN,JAPAN:  MINO,35.5,136.9,30,0,0,0,0,0
745,6,9,0,0,0,6.5,0,6.5,0,JAPAN,JAPAN: OSAKA BAY,34.6,135.3,30,0,0,0,0,0
746,1,18,0,0,0,7,0,0,0,ISRAEL,"ISRAEL:  TEVERYA (TIBERIAS), ARIHA (JERICHO)",32,35.5,140,0,0,0,0,0
748,8,31,0,0,0,0,0,0,0,SYRIA,SYRIA:  DIMASHQ (DAMASCUS),33.5,36.3,140,0,0,0,0,0
